,I_1,I_2,I_4,I_8,I_16,I_inf,W_100,W_1000,W_10000,W_100000,est_lb,est,est_ub
41,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.599251381347052,30.09450900887432,30.58976663640158
42,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,28.39410622730437,29.690848852554343,30.987591477804315
43,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.298386878555334,29.77188285386041,30.24537882916549
44,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,16.72472882207269,18.828044675365575,20.931360528658463
45,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.610799294523456,30.14865248987272,30.686505685221984
46,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.478316562840934,30.027749766570437,30.577182970299944
47,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.2740269958396,29.76208101368123,30.25013503152286
48,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.69475448376153,27.855933833422046,28.017113183082564
49,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.625139172586785,30.146495210685735,30.66785124878469
50,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.60408377672638,30.127833051887905,30.65158232704943
51,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.726414488208036,27.888474941573367,28.0505353949387
52,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.995414823230156,45.011908775722,45.02840272821384
53,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.622287874875145,30.19798391737372,30.773679959872293
54,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,43.096811533048765,44.7811372647604,46.46546299647205
55,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.28178645865739,29.77231562641036,30.26284479416333
56,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.27583323463964,45.29083323463964,45.30583323463964
57,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.98398816115261,45.04045164413186,45.096915127111124
58,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.45473103815552,29.946851164020316,30.43897128988511
59,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.19523420313247,45.25342711653077,45.311620029929074
60,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,28.88678699487175,30.048562928211354,31.210338861550962
61,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,24.797137853981525,1524.7971378539814,3024.7971378539814
62,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.050031608833365,27.19324125173086,27.336450894628353
63,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.501083762365898,30.021299824771937,30.54151588717798
64,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,28.54024061991248,120.47403196339266,212.40782330687284
65,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.06499441464608,45.08588352455176,45.10677263445744
66,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.526488250427406,27.682387162927526,27.838286075427643
67,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.855052888750194,28.021414207581664,28.18777552641313
68,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.195255746599727,29.663130560918944,30.131005375238164
69,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.543293493608804,30.061118044813952,30.578942596019097
70,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.889879395145798,28.057442540961027,28.225005686776253
71,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.315056471213012,28.62434769810305,29.933638924993087
72,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.65671846624645,45.71872583676277,45.780733207279084
73,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.67470841139132,27.83515003311364,27.995591654835955
74,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.140395213427905,27.285885931050778,27.43137664867365
75,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.00358451950078,45.245895111248295,45.48820570299581
76,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,21.575884018002412,23.34589673224344,25.115909446484466
77,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.325191547248444,27.47547823366266,27.625764920076875
78,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,24.554292158006174,25.97228421599074,27.390276273975307
79,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.970052011343423,31.181996429324343,32.39394084730526
80,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,25.846352411753944,27.473488435572385,29.10062445939083
81,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.046551495297596,30.344234897436777,31.641918299575963
82,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,31.164782575490854,32.369701616689966,33.574620657889085
83,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.643564171855118,30.202251605289888,30.760939038724654
84,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,24.491873446333457,1524.4918734463336,3024.4918734463336
85,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.414959244843097,29.948087668623124,30.481216092403148
86,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.376395345541606,27.528019305270256,27.6796432649989
87,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.270277022125402,27.41908972960664,27.56790243708788
88,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.39502463476684,29.920525472295033,30.446026309823225
89,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,20.849519677780968,22.916966028910934,24.984412380040904
90,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.310331828985518,27.460197705875878,27.610063582766234
91,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,25.763070303561722,27.21532694657138,28.667583589581035
92,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.63286762494994,30.1980509509472,30.763234276944456
93,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.939696568004102,29.28141658515255,30.623136602301
94,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,24.842031759402907,26.60043705786388,28.35884235632485
95,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.362528677182727,27.513817299498903,27.66510592181508
96,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.354647358818365,29.867584914011463,30.38052246920456
97,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.517858619733335,27.67357754669026,27.829296473647187
98,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.45901114255582,30.007095538195465,30.555179933835113
99,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.508711850302,30.056260807033805,30.60380976376561
100,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.25501969159895,45.29204843177082,45.32907717194269
101,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.07319399481113,45.0914451414155,45.10969628801987
102,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.302493798999585,45.033723313715555,45.76495282843152
103,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.86105478517813,45.876054785178134,45.891054785178135
104,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.078310815768337,28.53072712709892,29.983143438429504
105,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.367625238689314,45.382625238689315,45.397625238689315
106,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.999374505423642,43.64814840125212,57.296922297080606
107,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.940032237325156,29.358985742720876,30.777939248116592
108,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.43194657130945,29.969878825569637,30.50781107982983
109,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.134401747075756,45.14940174707576,45.16440174707576
110,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.219947719183736,30.645362391477683,32.07077706377163
111,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.92749294608455,31.243147051539825,32.5588011569951
112,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.30327222303611,45.31827222303611,45.33327222303611
113,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.144403327000774,45.159403327000774,45.174403327000775
114,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,21.15278862717981,23.133146451961554,25.1135042767433
115,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.070801991236614,45.20722779852806,45.343653605819505
116,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,28.72826863301535,29.936146293983413,31.14402395495148
117,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.2567005820057,45.2717005820057,45.2867005820057
118,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,23.51324989386754,442.0315730487726,860.5498962036777
119,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,22.56202838695034,1522.5620283869503,3022.5620283869503
120,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,12.685946973065255,15.290229688427981,17.89451240379071
121,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,26.783227902477968,88.87858376917168,150.9739396358654
122,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,24.508903792418973,26.617031488969936,28.725159185520894
123,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,24.510306469656165,26.266586499764344,28.02286652987252
124,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.16528294069876,45.32617075637722,45.48705857205568
125,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.029578520965785,45.12249462943256,45.21541073789933
126,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,22.661319365039816,25.18381893515705,27.706318505274282
127,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.48606918321875,45.50506532344293,45.5240614636671
128,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.84405058672595,31.042884205315122,32.241717823904295
129,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,30.610114650558067,31.851088690504376,33.092062730450685
130,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.628242561038345,30.245429961681506,30.862617362324666
131,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.91383323411263,45.232841117191754,45.55184900027088
132,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,25.544276726461007,27.066827759033245,28.589378791605487
133,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.21757282961648,29.69048313595503,30.163393442293582
134,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.42684999763037,45.63699302326306,45.84713604889575
135,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.664482003762863,29.939004164082714,32.213526324402565
136,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.300531997771465,45.320991270420684,45.341450543069904
137,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.88755477724025,45.13879281482751,45.39003085241477
138,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.35522672563012,29.868022298709633,30.380817871789148
139,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.283217778452588,29.773556119821638,30.263894461190688
140,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.043797167593546,45.08281717171158,45.12183717582962
141,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.08818945325069,45.15839455570742,45.22859965816414
142,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.568559106406997,30.159921992379218,30.751284878351434
143,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.18864187904764,29.65457060441006,30.120499329772482
144,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.35601758577738,29.869516078481244,30.383014571185107
145,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.334424894244695,29.840392182933655,30.34635947162262
146,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.46088685642263,30.009368549353322,30.557850242284015
147,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,46.23223801021206,46.2494890602083,46.26674011020454
148,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.41716844723883,45.446571876888214,45.4759753065376
149,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,25.595996963883767,27.1476666359181,28.69933630795243
150,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.73091224185242,30.802572251771963,31.874232261691503
151,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.41183293885992,29.94277884188372,30.473724744907518
152,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.626254266367095,30.244682146613375,30.863110026859655
153,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,28.26449143638952,29.487135929239045,30.709780422088574
154,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,26.798584201001848,28.46167116254502,30.124758124088192
155,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.26257628946983,29.747751425861132,30.23292656225243
156,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,28.315916965492452,29.631114481988483,30.94631199848451
157,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.06685232914411,45.184952675036016,45.30305302092791
158,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.43480324460292,31.011551275213037,32.58829930582315
159,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.533265286834677,28.967129997750767,30.400994708666857
160,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.707678346729125,27.869068396014548,28.030458445299967
161,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,22.254571307170036,1522.25457130717,3022.25457130717
162,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.630337480871905,30.250410934836918,30.87048438880193
163,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,26.411440609516813,27.88431812297273,29.35719563642865
164,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.651141744025995,30.28218774289281,30.913233741759623
165,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.486164416421527,29.28283308241496,31.079501748408394
166,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.32137158518713,29.823228810701924,30.325086036216717
167,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.513500391801905,30.08163906583693,30.64977773987196
168,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.05554970627499,45.317571593039645,45.579593479804295
169,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.306604503566234,29.80476681006948,30.302929116572727
170,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,30.01227763641233,31.229270115757533,32.44626259510274
171,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.924940690241012,31.38167318884389,32.838405687446766
172,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.376510182590867,27.52813921288483,27.6797682431788
173,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.250105401914983,27.39836390335075,27.546622404786515
174,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,25.21982874545413,26.844717017020436,28.46960528858674
175,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,24.559204985921575,24.574204985921575,24.589204985921576
176,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.548803205721946,45.59406948609811,45.63933576647426
177,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,28.170498447725524,29.77947516515426,31.38845188258299
178,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.48572531894232,27.640480720676358,27.7952361224104
179,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.788592150084007,27.95271367079522,28.116835191506432
180,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.624929148265142,30.242504655634725,30.860080163004312
181,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.10431265277231,27.248876899737617,27.39344114670292
182,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.29395678795445,29.788045478858763,30.28213416976308
183,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,28.59013674410345,30.017223800945956,31.44431085778846
184,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.84849129435374,31.07033589549978,32.29218049664583
185,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.70624469109411,30.365926967316845,31.02560924353958
186,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,30.287824424916426,31.621202214947274,32.95458000497812
187,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.41673815873625,29.95004144111659,30.483344723496927
188,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.843247840959844,31.070447662806536,32.29764748465323
189,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.28859780834713,30.45673368996418,31.624869571581232
190,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,28.451852288712832,29.734713181982947,31.01757407525306
191,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,31.262483003111335,32.4820069303498,33.70153085758827
192,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.171035285992357,29.632373758462492,30.09371223093263
193,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.20650415023956,27.35362694501798,27.5007497397964
194,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.12753318239432,27.272678776070453,27.417824369746587
195,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.244084904160793,28.55776290193561,29.871440899710425
196,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.797900236834746,30.98149674421731,32.16509325159987
197,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,24.843243239555896,26.396369426339263,27.949495613122632
198,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,26.883603825487455,28.384519817657555,29.88543580982766
199,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.616570569824013,30.96627594347598,32.31598131712795
200,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,30.339701327318355,31.614146417301185,32.88859150728402
201,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,30.56045037877565,32.145131388407016,33.72981239803838
202,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,45.23544632787127,45.25044632787127,45.265446327871274
203,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,27.9059677916768,29.250116102091948,30.594264412507094
204,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,30.610921883312038,31.834438078052898,33.05795427279376
205,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,18.57238656312992,20.71139645883288,22.850406354535835
206,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,27.344244543879945,28.663203637018064,29.982162730156187
