,I_1,I_2,I_4,I_8,I_16,I_inf,W_100,W_1000,W_10000,W_100000,est_lb,est,est_ub
24,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.224151460249367,29.698077056622843,30.172002652996323
25,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,36.57183581399021,39.358335670101745,42.14483552621328
26,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.48172307197352,44.62091514588758,44.76010721980163
27,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.481727421248163,30.009056268888106,30.53638511652805
28,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,28.998209302352855,30.69479790502169,32.39138650769053
29,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.654520683747545,30.247346103085405,30.84017152242326
30,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.397977701992463,29.922974218718878,30.44797073544529
31,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.223458995613676,29.69810909018714,30.1727591847606
32,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.803781825292486,27.968405531216646,28.133029237140804
33,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.34206311096918,45.44100956178842,45.539956012607654
34,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.1482346087738,44.440834453036274,44.73343429729876
35,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.8407568335092,45.96965891908606,46.09856100466291
36,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,55.54490681490825,93.00056253772331,130.45621826053838
37,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.842216453380107,28.008081230936476,28.17394600849284
38,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.300160586742788,29.796015945835165,30.291871304927543
39,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.565552767881954,45.65949570585855,45.75343864383515
