,I_1,I_2,I_4,I_8,I_16,I_inf,W_100,W_1000,W_10000,W_100000,est_lb,est,est_ub
22,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.461085014071806,33.53398421078223,33.60688340749265
23,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.885477889410566,33.94856380881964,34.01164972822872
24,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,43.07196255151926,1543.0719625515194,3043.0719625515194
25,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.64233029639467,33.70067276788818,33.75901523938169
26,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.374608962109434,33.428222554545655,33.48183614698187
27,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,41.70080058248211,49.42278323442913,57.14476588637616
28,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,32.2368310760638,32.26625105299247,32.29567102992114
29,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.933642742075364,36.5318948061544,39.13014687023344
30,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.46884476452702,1544.4688447645271,3044.468844764527
31,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.18604251124032,33.61756826177643,34.04909401231254
32,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,14.591034660532094,172.45628957746368,330.32154449439525
33,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.572706053770794,34.68804920951587,34.80339236526094
34,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,31.535012956976235,33.876580326540484,36.21814769610474
35,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.389750663333984,34.482278898797844,34.5748071342617
36,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,37.21684892363728,1537.2168489236374,3037.2168489236374
37,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.81943389048228,227.27169624779287,426.72395860510346
38,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,30.94118563036385,32.72960571547481,34.51802580058577
39,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.399295256331804,33.47327722346991,33.547259190608
40,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,38.747275271936154,45.01870724136576,51.290139210795374
41,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.56146012910566,33.58791034652489,33.614360563944125
42,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,37.091191734985664,1537.0911917349858,3037.091191734986
43,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,31.96892353850054,32.08685204691368,32.20478055532681
44,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,32.456863334363604,32.4793674859676,32.50187163757159
45,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,32.67563000800325,32.690630008003254,32.705630008003254
46,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.365747266086835,33.41179689773736,33.45784652938789
47,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.157290907862766,34.17229090786277,34.18729090786277
48,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.58989792167971,33.646280554526115,33.70266318737252
49,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,32.19394004269542,32.26000462590903,32.32606920912264
50,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.833821227486325,33.88098317344749,33.92814511940865
51,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,32.647617412743344,1532.6476174127433,3032.6476174127433
52,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.223161059813705,33.24018625621278,33.25721145261185
53,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,37.598204380694725,60.75917393826641,83.92014349583809
54,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.05420301434306,34.120390813677666,34.18657861301227
55,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.680607866135674,33.695607866135674,33.710607866135675
56,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,30.938980420928594,34.12630555893645,37.3136306969443
57,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,43.35741194313369,1543.3574119431337,3043.3574119431337
58,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.733173461382606,34.780661156338596,34.82814885129459
59,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,32.921293715256745,1532.9212937152565,3032.9212937152565
60,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.91922103554569,1527.919221035546,3027.919221035546
61,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.98414329245547,34.14759317836299,34.31104306427051
62,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.769596094199315,54.07601523144853,74.38243436869774
63,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,35.583801737746505,73.46511037072233,111.34641900369814
64,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.43472870603126,33.88443465770625,34.33414060938124
65,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,43.456917247129624,1543.4569172471297,3043.4569172471297
66,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,37.38398231292744,1537.3839823129274,3037.3839823129274
67,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.436765961260168,1529.4367659612603,3029.4367659612603
68,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.83826077082631,33.85326077082631,33.86826077082631
69,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,35.06134709211551,35.115490406341834,35.16963372056816
70,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,42.55865042643774,1542.558650426438,3042.558650426438
71,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,39.492645611322914,1539.492645611323,3039.492645611323
72,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.908528108903575,33.93355962990019,33.958591150896794
73,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.45012241400767,33.46512241400767,33.480122414007674
74,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,35.12555476759614,35.54948948358167,35.9734241995672
75,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,36.05368245532826,1536.0536824553283,3036.0536824553283
